prefcode,prefname,municode,muniname,en,cat
00,全国,00000,全国,Japan,a
01,北海道,01000,北海道,Hokkaido,a
01,北海道,01100,札幌市,Sapporo-shi,1
01,北海道,01101,札幌市中央区,Sapporo-shi Chuo-ku,0
01,北海道,01102,札幌市北区,Sapporo-shi Kita-ku,0
01,北海道,01103,札幌市東区,Sapporo-shi Higashi-ku,0
01,北海道,01104,札幌市白石区,Sapporo-shi Shiroishi-ku,0
01,北海道,01105,札幌市豊平区,Sapporo-shi Toyohira-ku,0
01,北海道,01106,札幌市南区,Sapporo-shi Minami-ku,0
01,北海道,01107,札幌市西区,Sapporo-shi Nishi-ku,0
01,北海道,01108,札幌市厚別区,Sapporo-shi Atsubetsu-ku,0
01,北海道,01109,札幌市手稲区,Sapporo-shi Teine-ku,0
01,北海道,01110,札幌市清田区,Sapporo-shi Kiyota-ku,0
01,北海道,01202,函館市,Hakodate-shi,2
01,北海道,01203,小樽市,Otaru-shi,2
01,北海道,01204,旭川市,Asahikawa-shi,2
01,北海道,01205,室蘭市,Muroran-shi,2
01,北海道,01206,釧路市,Kushiro-shi,2
01,北海道,01207,帯広市,Obihiro-shi,2
01,北海道,01208,北見市,Kitami-shi,2
01,北海道,01209,夕張市,Yubari-shi,2
01,北海道,01210,岩見沢市,Iwamizawa-shi,2
01,北海道,01211,網走市,Abashiri-shi,2
01,北海道,01212,留萌市,Rumoi-shi,2
01,北海道,01213,苫小牧市,Tomakomai-shi,2
01,北海道,01214,稚内市,Wakkanai-shi,2
01,北海道,01215,美唄市,Bibai-shi,2
01,北海道,01216,芦別市,Ashibetsu-shi,2
01,北海道,01217,江別市,Ebetsu-shi,2
01,北海道,01218,赤平市,Akabira-shi,2
01,北海道,01219,紋別市,Mombetsu-shi,2
01,北海道,01220,士別市,Shibetsu-shi,2
01,北海道,01221,名寄市,Nayoro-shi,2
01,北海道,01222,三笠市,Mikasa-shi,2
01,北海道,01223,根室市,Nemuro-shi,2
01,北海道,01224,千歳市,Chitose-shi,2
01,北海道,01225,滝川市,Takikawa-shi,2
