pref,muni,demand,land_total,land_habitable,land_buildings,land_agri,taxable_income,LV,LV_2014,LV_2015,LV_2016,LV_2017,LV_2018,LV_2019,LV_2020,LV_2021,LV_2022,LV_2023,PV_R_2014,PV_R_2015,PV_R_2016,PV_R_2017,PV_R_2018,PV_R_2019,PV_R_2020,PV_R_2021,PV_R_2022,PV_R_2023,PV_S_2014,PV_S_2015,PV_S_2016,PV_S_2017,PV_S_2018,PV_S_2019,PV_S_2020,PV_S_2021,PV_S_2022,PV_S_2023,PV_M_2014,PV_M_2015,PV_M_2016,PV_M_2017,PV_M_2018,PV_M_2019,PV_M_2020,PV_M_2021,PV_M_2022,PV_M_2023,PV_U_2014,PV_U_2015,PV_U_2016,PV_U_2017,PV_U_2018,PV_U_2019,PV_U_2020,PV_U_2021,PV_U_2022,PV_U_2023,pv_out,epco,SPR_2014,SPR_2015,SPR_2016,SPR_2017,SPR_2018,SPR_2019,SPR_2020,SPR_2021,SPR_2022,SPR_2023
北海道,札幌市,8568474.0,112126.0,43879.0,13991.0372,2510.0,3056638242.0,65000.0,57390.0,57073.0,58024.0,59610.0,60244.0,60878.0,63415.0,65951.0,69756.0,71278.0,20742.0,24027.0,26463.0,28171.0,30031.0,33820.0,37528.0,41996.0,47889.0,53593.0,4936.0,7043.0,8098.0,8568.0,8771.0,9128.0,9254.0,9530.0,11846.0,11906.0,628.0,3803.0,5849.0,5849.0,6628.0,8707.0,10485.0,10732.0,11581.0,11581.0,2990.0,5250.0,7240.0,7240.0,7240.0,9220.0,11102.0,11102.0,11102.0,12152.0,1330.833277563815,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,函館市,1181835.0,67787.0,12281.0,3179.001,1940.0,316463049.0,43000.0,37966.0,37756.0,38385.0,39434.0,39854.0,40273.0,41951.0,43629.0,46146.0,47153.0,3470.0,3989.0,4424.0,4703.0,5014.0,5446.0,5845.0,6254.0,6899.0,7609.0,1326.0,1510.0,1808.0,2165.0,2704.0,3308.0,3975.0,4613.0,5669.0,5906.0,1260.0,5683.0,7413.0,7261.0,7261.0,8659.0,9307.0,9307.0,9307.0,9307.0,0.0,2001.0,2001.0,3601.0,4601.0,4601.0,4601.0,4601.0,4601.0,4601.0,1285.0065539876157,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,小樽市,671998.0,24383.0,8528.0,1716.2839,182.0,126725644.0,22200.0,19601.0,19493.0,19818.0,20359.0,20576.0,20792.0,21659.0,22525.0,23824.0,24344.0,994.0,1141.0,1224.0,1281.0,1307.0,1382.0,1540.0,1706.0,1954.0,2166.0,613.0,594.0,594.0,594.0,594.0,643.0,701.0,701.0,729.0,729.0,0.0,0.0,250.0,250.0,250.0,999.0,1299.0,2164.0,2164.0,2164.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,4685.0,4685.0,4685.0,6435.0,1306.230556830138,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,旭川市,1505444.0,74766.0,35018.0,5333.0198,13700.0,422951388.0,24300.0,21455.0,21337.0,21692.0,22285.0,22522.0,22759.0,23707.0,24656.0,26078.0,26647.0,4372.0,4932.0,5392.0,5671.0,5959.0,6534.0,6940.0,7578.0,8551.0,9465.0,1129.0,1224.0,1825.0,1841.0,1841.0,2140.0,2228.0,2431.0,2431.0,2431.0,3176.0,3966.0,3966.0,3966.0,3966.0,3966.0,3966.0,3966.0,3966.0,3966.0,1250.0,4240.0,6391.0,6391.0,6391.0,6391.0,6391.0,6391.0,6391.0,6391.0,1242.370220842487,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,室蘭市,867362.0,8101.0,4331.0,1900.3883,227.0,105103135.0,20000.0,17659.0,17561.0,17854.0,18341.0,18537.0,18732.0,19512.0,20293.0,21463.0,21932.0,1334.0,1458.0,1572.0,1675.0,1750.0,2052.0,2350.0,2616.0,2893.0,3223.0,624.0,765.0,811.0,883.0,943.0,1648.0,1697.0,2129.0,2228.0,2228.0,0.0,525.0,525.0,1539.0,1401.0,2101.0,2451.0,2451.0,2451.0,2451.0,1000.0,1000.0,3972.0,3972.0,7128.0,8693.0,8693.0,8693.0,8693.0,8693.0,1305.7609489779484,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,釧路市,879857.0,136329.0,31168.0,3109.9608,10500.0,210750886.0,18700.0,16511.0,16420.0,16693.0,17149.0,17332.0,17514.0,18244.0,18974.0,20068.0,20506.0,5520.0,6217.0,6877.0,7379.0,7833.0,8419.0,8853.0,9405.0,10023.0,10720.0,2766.0,3166.0,5061.0,5810.0,7293.0,14094.0,17212.0,19407.0,20571.0,23358.0,8243.0,9365.0,10672.0,10018.0,12052.0,17412.0,17412.0,17412.0,17412.0,17412.0,2977.0,39977.0,40977.0,43957.0,45947.0,61432.0,67031.0,68591.0,68591.0,68591.0,1304.394358732378,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,帯広市,861233.0,61934.0,38130.0,3155.0057,22900.0,252818667.0,28100.0,24810.0,24673.0,25084.0,25770.0,26044.0,26318.0,27415.0,28511.0,30156.0,30814.0,8380.0,9871.0,11048.0,11807.0,12303.0,13248.0,14296.0,15066.0,15882.0,16910.0,4974.0,6033.0,7310.0,8143.0,9035.0,10174.0,10904.0,11135.0,11283.0,11433.0,5350.0,7456.0,7634.0,8508.0,10463.0,10463.0,10463.0,10463.0,10463.0,10463.0,4205.0,2999.0,2999.0,2999.0,6999.0,8245.0,8245.0,8245.0,8245.0,8245.0,1342.189187180834,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,北見市,568744.0,142741.0,42794.0,3109.0873,23700.0,162397235.0,18100.0,15981.0,15893.0,16158.0,16599.0,16776.0,16952.0,17659.0,18365.0,19424.0,19848.0,6891.0,7409.0,7827.0,8169.0,8515.0,8846.0,9124.0,9526.0,10203.0,11108.0,3728.0,4484.0,5682.0,7053.0,8902.0,11000.0,12282.0,13749.0,14590.0,15216.0,3560.0,6467.0,8796.0,8787.0,11242.0,11973.0,11973.0,12123.0,12373.0,12373.0,9750.0,10750.0,11750.0,11750.0,11750.0,11749.0,11749.0,11749.0,11749.0,11749.0,1294.876742681617,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,夕張市,40760.0,76307.0,11466.0,232.1864,726.0,6656264.0,4100.0,3620.0,3600.0,3660.0,3760.0,3800.0,3840.0,4000.0,4160.0,4400.0,4496.0,55.0,70.0,104.0,104.0,124.0,128.0,129.0,150.0,159.0,169.0,70.0,100.0,100.0,100.0,100.0,100.0,149.0,149.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.088081917709,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
北海道,岩見沢市,394295.0,48102.0,32071.0,2037.6189,19700.0,97985524.0,12000.0,10595.0,10537.0,10712.0,11005.0,11122.0,11239.0,11707.0,12176.0,12878.0,13159.0,1210.0,1298.0,1419.0,1503.0,1640.0,1729.0,1872.0,2121.0,2460.0,2654.0,436.0,553.0,565.0,555.0,850.0,1049.0,1240.0,1554.0,1752.0,1976.0,0.0,937.0,937.0,937.0,1187.0,1187.0,1737.0,2738.0,3218.0,3218.0,0.0,3980.0,10730.0,10730.0,10730.0,10730.0,13612.0,13612.0,13612.0,13612.0,1293.149201297854,hokkaido,0.017925,0.027476,0.041714,0.042136,0.051335,0.06507,0.081944,0.087029,0.089891,0.104499
